access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,67261.5984,67389.3789,0.0136,131072.0000,1024.0000,0.0070,1.9450,0.2769,1.9487,32,0
read,79849.4060,80006.7372,0.0126,131072.0000,1024.0000,0.0066,1.6383,0.0680,1.6415,32,0
write,69423.5443,69551.5216,0.0134,131072.0000,1024.0000,0.0069,1.8845,0.2300,1.8880,32,1
read,80708.2185,80875.2015,0.0124,131072.0000,1024.0000,0.0066,1.6207,0.0421,1.6240,32,1
write,76241.4379,76392.1198,0.0131,131072.0000,1024.0000,0.0066,1.7158,0.0663,1.7192,32,2
read,78746.7988,78902.4267,0.0125,131072.0000,1024.0000,0.0064,1.6612,0.0896,1.6645,32,2
write,74597.4580,74744.6525,0.0131,131072.0000,1024.0000,0.0067,1.7536,0.1113,1.7571,32,3
read,82258.3965,82431.0220,0.0124,131072.0000,1024.0000,0.0065,1.5901,0.0354,1.5934,32,3
write,71455.5546,71588.6048,0.0140,131072.0000,1024.0000,0.0066,1.8309,0.0601,1.8343,32,4
read,81450.3859,81616.9432,0.0122,131072.0000,1024.0000,0.0064,1.6059,0.0514,1.6092,32,4
