access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter
write,40749.3204,40767.2263,0.0621,131072.0000,1024.0000,0.0251,8.0378,2.4764,8.0414,80,0
write,43614.9329,43634.0873,0.0566,131072.0000,1024.0000,0.0370,7.5097,2.3149,7.5130,80,1
write,42594.5502,42613.1503,0.0584,131072.0000,1024.0000,0.0259,7.6896,2.5192,7.6930,80,2
write,41854.3384,41872.9021,0.0600,131072.0000,1024.0000,0.0295,7.8256,2.5537,7.8291,80,3
write,44202.5387,44221.5796,0.0572,131072.0000,1024.0000,0.0254,7.4100,2.2611,7.4131,80,4
